FUENTE;FUENTE 2;FECHA;HORA;ORIGEN;DESTINO;CANTIDAD;MONTO;INFRAESTRUCTURA;INSUMOS MEDICOS;EQUIPAMIENTO;IMPLEMENTOS DE BIOSEGURIDAD;CONCEPTO;ESTADO;NOTICIA
MSA;REDES;16/03/2020;21:24:32;GOBIERNO;POBLACION;;;;;;OK;COMPRA;Entregado;" El Min. #AnÌbalCruz entregÛ 600 barbijos N95, 60 cajas de guantes de l·tex y 90 batas descartables, como equipo de protecciÛn personal a la Pol_Boliviana
que presta servicio en centros mÈdicos #coronavirus 
#hagamosPaÌsEnPaz "
MSA;REDES;16/03/2020;19:33:29;GOBIERNO;POBLACION;;;;OK;;;COMPRA;Entregado;"#Bolivia cuenta con aprovisionamiento suficiente de reactivos para el an·lisis de laboratorio por #coronavirus, ""Hoy llegaron 2.500 reactivos y 7.000 m·s llegar·n en las prÛximas horas, para hacer el diagnÛstico de casos sospechosos"", dijo el Min. #AnÌbalCruz
"
MSA;REDES;16/03/2020;23:26:22;GOBIERNO;POBLACION;;;;;;OK;COMPRA;Entregado;"#Coronavirus:  entrega equipos de protecciÛn personal a la Pol_Boliviana 
Lee la nota completa "
MSA;REDES;17/03/2020;01:31:35;GOBIERNO;POBLACION;;;;;;OK;COMPRA;Entregado;"#CoronavirusBolivia
El  entregÛ un primer stock de equipos de protecciÛn a personal mÈdico y tambiÈn a policÌas que prestan servicios en centros salud de los 9 departamentos del paÌs. Se trata de 12 mil barbijos, 1.700 pares de guantes de l·tex y 4.980 batas. "
UNI;REDES;19/03/2020;17:17:48;CHINA;SANTA CRUZ;;;;;OK;;DONACION;Entregado;China donÛ equipos de control y monitoreo para el coronavirus en Santa Cruz
MSA;REDES;20/03/2020;02:21:11;GOBIERNO;POBLACION;;;;;;OK;COMPRA;Entregado;"Gobierno entrega barbijos y otros insumos para evitar el contagio de #coronavirus
Lee la nota completa "
UNI;REDES;24/03/2020;17:26:55;YPFB;HOSPITALES;;;;;;OK;COMPRA;Entregado;YPFB dota de equipos de protecciÛn a personal mÈdico que atiende a sospechosos
BOL;REDES;26/03/2020;02:55:02;GOBIERNO;SANTA CRUZ;;;;;OK;;COMPRA;Entregado;El aparato mÈdico ser· entregado al hospital San Juan de Dios 
MSA;REDES;26/03/2020;16:37:52;GOBIERNO;ORURO;;;OK;;;OK;COMPRA;Entregado; La Pdta. #JeanineAÒez, junto al Min #AnÌbalCruz y otras autoridades de Estado, anunciÛ la entrega de 206 Ìtems de salud, la adecuaciÛn de un laboratorio, construcciÛn de dos centros de salud prefabricados e insumos de bioseguridad en #Oruro para combatir el #COVID19 
MSA;REDES;30/03/2020;03:51:19;GOBIERNO;LA PAZ;;;;;;OK;COMPRA;Entregado;El Ministro #AnÌbalCruz entregÛ insumos de bioseguridad, entre guantes, barbijos, botas, batas y otros, a MuniLaPaz ElAltoAlcaldia y gobernacionlp, para fortalecer la labor del personal en salud de hospitales y centros mÈdicos frente a la emergencia sanitaria por el #COVID19. 
MSA;REDES;31/03/2020;11:53:34;GOBIERNO;LA PAZ;;;;;;OK;COMPRA;Entregado;" Inicia el acto de entrega de equipos de rociado para tareas de fumigaciÛn, con la representante de la unidad_gestion #CarolinaRibero y el
el Ministro de Salud #AnÌbalCruz en #LaPaz "
BOL;REDES;02/04/2020;15:58:26;CHINA;GOBIERNO;;;;;;;DONACION;Entregado;" China entrega importante donaciÛn a Bolivia
 140 extranjeros ser·n repatriados a paÌses europeos
"
BOL;REDES;03/04/2020;18:42:40;GOBIERNO;LA PAZ;;;;;;OK;DONACION;Entregado;Fueron donados insumos de bioseguridad 
MSA;REDES;03/04/2020;02:45:45;PNUD;POBLACION;13;;;;OK;;DONACION;Entregado;"Ministro #AnÌbalCruz: ""El PNUDBolivia entregÛ al paÌs equipos para la implementaciÛn de 13 laboratorios de detecciÛn del #COVID19; localizados en los 9 departamentos. 3 de ellos son laboratorios de PCR  ReacciÛn en Cadena de la Polimerasa"".

#CoronaviruBolivia "
MSA;REDES;03/04/2020;02:54:14;CHINA;GOBIERNO;;;;OK;OK;OK;DONACION;Entregado;"Ministro #AnÌbalCruz: ""Recibimos el apoyo internacional de China de 100.000 barbijos, 20.000 kits para el diagnÛstico de #coronavirus y 5 respiradores mÈdicos; vamos a dar un buen uso de este equipo y distribuir de manera inmediata, a travÈs de los #SEDES en cada departamento"". "
MSA;REDES;06/04/2020;22:45:48;GOBIERNO;LA PAZ;;;;;;OK;COMPRA;Entregado; Ministro de #Salud AnÌbal Cruz junto a las autoridades #ErwinViruez #IvanArias entregan insumos de bioseguridad a personal de salud del Hospital La Portada #COVID19 
UNI;REDES;06/04/2020;15:09:02;PRIVADO;GOBIERNO;;;;OK;OK;;DONACION;Entregado;Gobierno recibe donaciÛn de privados y Asoban para comprar insumos mÈdicos y reactivos
BOL;REDES;07/04/2020;03:50:02;GOBIERNO;POBLACION;;;;;;OK;COMPRA;Entregado;Adem·s llegaron otros insumos de limpieza para prevenir el coronavirus 
BTV;REDES;10/04/2020;19:30:52;GOBIERNO;COCHABAMBA;;;;;;OK;COMPRA;Entregado; En #Cochabamba, autoridades del Gobierno nacional, realizan un recorrido por los distintos hospitales de la regiÛn entregando elementos de bioseguridad para el personal mÈdico. 
BTV;REDES;10/04/2020;19:32:52;GOBIERNO;BENI;;;;;;OK;COMPRA;Entregado; En #Riberalta, #Beni, el Gobierno nacional entregÛ insumos de bioseguridad para que los mÈdicos cuenten con los elementos necesarios para trabajar en estos tiempos de pandemia por el #coronavirus. 
BTV;REDES;10/04/2020;20:08:36;GOBIERNO;CHUQUISACA;;;;;;OK;COMPRA;Entregado;"#SOCIEDAD
La Unidad de GestiÛn Social del Ministerio de la Presidencia comenzÛ a distribuir miles de insumos de bioseguridad a los hospitales del departamento de #Chuquisaca, informÛ el diputado Horacio Poppe.
"
BTV;REDES;11/04/2020;19:08:50;YPFB;SANTA CRUZ;;;;;;OK;DONACION;Entregado;"#OPINI”N 
El presidente de Yacimientos PetrolÌferos Fiscales Bolivianos (YPFB), Herland Soliz, entregÛ el s·bado equipos de bioseguridad mÈdica a distintas provincias del departamento de #SantaCruz para enfrentar el #coronavirus COVID19.
"
BTV;REDES;13/04/2020;12:54:21;ALCALDIA;SANTA CRUZ;;;;;;OK;COMPRA;Entregado; YPFB y la GobernaciÛn de #SantaCruz entregan equipos de bioseguridad para mÈdicos de las provincias: Velasco, √ëuflo de Ch·vez y √Ångel Sandoval. 
BTV;REDES;13/04/2020;18:41:05;PRIVADO;POBLACION;;50000 $;;;OK;OK;DONACION;Entregado;El empresario cochabambino JosÈ Ra˙l Montalvo donÛ equipos de bioseguridad y equipamiento para bomberos valuados en 50 mil dÛlares para la prevenciÛn del #coronavirus. Esta donaciÛn ser· entregada a Defensa Civil. 
MSA;REDES;14/04/2020;18:02:47;GOBIERNO;EL ALTO;;;OK;;;;COMPRA;Entregado;" El Vicemin. de Medicina Tradicional #FelipeQuilla y naturistas de la AsociaciÛn ""Inca Roca"" pusieron en marcha una c·mara de vapor mÛvil a base de hiervas medicinales para prevenir afecciones respiratorias en la zona de Alto Lima.
 "
MSA;REDES;15/04/2020;20:20:30;GOBIERNO;EL ALTO;10;;OK;;;;COMPRA;Entregado;" Diez c·maras de desinfecciÛn natural a base de plantas medicinales ser·n instaladas en #ElAlto
Conoce m·s detalles "
BTV;REDES;16/04/2020;23:08:35;GOBIERNO;TARIJA;;;;OK;OK;;COMPRA;Entregado;"#SOCIEDAD 
El Ministerio de Hidrocarburos con la colaboraciÛn de YPFB, entregÛ insumos y equipamiento para el laboratorio del Hospital San Juan de Dios de #Tarija, designado para diagnosticar y atender pacientes con #coronavirus.
"
UNI;REDES;16/04/2020;18:04:49;ALCALDIA;TARIJA;;;;OK;;;COMPRA;Entregado;Alcalde de Tarija entrega insumos para la protecciÛn de trabajadores de limpieza
BTV;REDES;17/04/2020;20:55:42;GOBIERNO;ORURO;;;OK;;;;COMPRA;Entregado;"#EnVivoEn #Oruro se realiza la entrega de dos hospitales mÛviles y centros de aislamiento. 
"
BTV;REDES;17/04/2020;23:40:28;GOBIERNO;ORURO;;1800000;OK;;;;COMPRA;Entregado;"#SALUD 
La presidenta Constitucional, Jeanine √ÅÒez, este viernes entregÛ dos centros mÈdicos mÛviles, que tienen el costo de 1.800.000 bolivianos para el tratamiento del #coronavirus en #Oruro.
"
MSA;REDES;17/04/2020;18:45:34;PRIVADO;GOBIERNO;;;;;OK;;DONACION;Entregado;" BancoBisa entrega equipo de respiraciÛn artificial al Ministerio de Salud

Lee la nota completa en: "
MSA;REDES;17/04/2020;14:25:35;PRIVADO;GOBIERNO;;27000;;;OK;;DONACION;Entregado;" BancoBisa realizÛ la entrega de un sistema de ventilaciÛn convencional invasivo y no invasivo a , valorizado en m·s de $us 27 mil para mejorar los servicios de atenciÛn en salud.


"
BOL;REDES;18/04/2020;05:38:17;GOBIERNO;POBLACION;200;;;;;OK;COMPRA;Entregado;Adem·s entregaron 200 trajes de bioseguridad 
RED;REDES;18/04/2020;17:03:55;EEUU;GOBIERNO;;750000 $;;;;;DONACION;Entregado;"El gobierno de los Estados Unidos, mediante su Departamento de Estado, oficializÛ una donaciÛn valuada en $us. 750.000 destinada para la salud en Bolivia. 
La informaciÛn fue dada a conocer por el embajador boliviano de Ciencia, TecnologÌa e InnovaciÛn, Mohammed M. "
BTV;REDES;20/04/2020;22:04:16;GOBIERNO;COCHABAMBA;;;;;;OK;COMPRA;Entregado;"#POL√çTICALa presidenta Jeanine √ÅÒez arribÛ el lunes a la ciudad de #Cochabamba para entregar Ìtems de salud e insumos de bioseguridad, en la oportunidad  pidiÛ a las autoridades de los gobiernos subnacionales asumir tambiÈn su responsabilidad.
"
MSA;REDES;20/04/2020;18:24:11;GOBIERNO;COCHABAMBA;;;;;;OK;COMPRA;Entregado;"""Agradecemos al personal de salud que arriesga la vida para cuidar la vida de otro, tenemos la obligaciÛn de brindarles protecciÛn"", Pdta. #Jeanine√ÅÒez en entrega de 350 Ìtems e insumos de bioseguridad en #Cochabamba,  junto al ministro #MarceloNavajas y otras autoridades. "
MSA;REDES;20/04/2020;21:51:01;GOBIERNO;COCHABAMBA;;;;;;OK;COMPRA;Entregado;"Gobierno entrega 350 Ìtems e insumos de bioseguridad para hospitales de #Cochabamba 
"
